ncircles,popsize,cprob,mprob,mrange,sp,fitness,covered,overlaped
12,50,0.300,0.060,0.070,0.35,78.3887,78.3887,0.0000
12,50,0.300,0.070,0.030,0.35,85.5199,85.5199,0.0000
12,50,0.300,0.070,0.040,0.35,85.5199,85.5199,0.0000
12,50,0.300,0.070,0.050,0.35,84.0501,84.0501,0.0000
12,50,0.300,0.070,0.060,0.35,84.9755,84.9755,0.0000
12,50,0.300,0.070,0.070,0.35,85.0844,85.0844,0.0000
12,50,0.300,0.080,0.030,0.35,82.1448,82.1448,0.0000
12,50,0.300,0.080,0.040,0.35,82.7980,82.7980,0.0000
12,50,0.300,0.080,0.050,0.35,83.0158,83.0158,0.0000
12,50,0.300,0.080,0.060,0.35,71.8019,71.8019,0.0000
12,50,0.300,0.080,0.070,0.35,81.1649,81.1649,0.0000
-------------------------------------------
12,50,0.450,0.020,0.030,0.35,85.6287,85.6287,0.0000
12,50,0.450,0.020,0.040,0.35,82.3081,82.3081,0.0000
12,50,0.450,0.020,0.050,0.35,75.7757,75.7757,0.0000
12,50,0.450,0.020,0.060,0.35,76.6467,76.6467,0.0000
12,50,0.450,0.020,0.070,0.35,75.2858,75.2858,0.0000
12,50,0.450,0.030,0.030,0.35,86.6630,86.6630,0.0000
12,50,0.450,0.030,0.040,0.35,81.9815,81.9815,0.0000
12,50,0.450,0.030,0.050,0.35,77.4088,77.4088,0.0000
12,50,0.450,0.030,0.060,0.35,74.1426,74.1426,0.0000
12,50,0.450,0.030,0.070,0.35,77.5721,77.5721,0.0000
12,50,0.450,0.040,0.030,0.35,80.4573,80.4573,0.0000
12,50,0.450,0.040,0.040,0.35,90.2014,90.2014,0.0000
12,50,0.450,0.040,0.050,0.35,88.1873,88.1873,0.0000
12,50,0.450,0.040,0.060,0.35,79.2052,79.2052,0.0000
12,50,0.450,0.040,0.070,0.35,85.1932,85.1932,0.0000
12,50,0.450,0.050,0.030,0.35,85.9009,85.9009,0.0000
12,50,0.450,0.050,0.040,0.35,81.2194,81.2194,0.0000
12,50,0.450,0.050,0.050,0.35,81.1105,81.1105,0.0000
12,50,0.450,0.050,0.060,0.35,79.0419,79.0419,0.0000
12,50,0.450,0.050,0.070,0.35,80.0762,80.0762,0.0000
12,50,0.450,0.060,0.030,0.35,83.3968,83.3968,0.0000
12,50,0.450,0.060,0.040,0.35,90.2559,90.2559,0.0000
12,50,0.450,0.060,0.050,0.35,79.8040,79.8040,0.0000
12,50,0.450,0.060,0.060,0.35,83.5602,83.5602,0.0000
12,50,0.450,0.060,0.070,0.35,82.2537,82.2537,0.0000
12,50,0.450,0.070,0.030,0.35,81.6004,81.6004,0.0000
12,50,0.450,0.070,0.040,0.35,83.7235,83.7235,0.0000
12,50,0.450,0.070,0.050,0.35,78.1165,78.1165,0.0000
12,50,0.450,0.070,0.060,0.35,83.7235,83.7235,0.0000
12,50,0.450,0.070,0.070,0.35,84.1045,84.1045,0.0000
12,50,0.450,0.080,0.030,0.35,84.9755,84.9755,0.0000
12,50,0.450,0.080,0.040,0.35,85.2477,85.2477,0.0000
12,50,0.450,0.080,0.050,0.35,75.9390,75.9390,0.0000
12,50,0.450,0.080,0.060,0.35,79.2052,79.2052,0.0000
12,50,0.450,0.080,0.070,0.35,77.5721,77.5721,0.0000
-------------------------------------------
12,50,0.650,0.020,0.030,0.35,83.6690,83.6690,0.0000
12,50,0.650,0.020,0.040,0.35,82.3625,82.3625,0.0000
12,50,0.650,0.020,0.050,0.35,74.9592,74.9592,0.0000
12,50,0.650,0.020,0.060,0.35,80.5661,80.5661,0.0000
12,50,0.650,0.020,0.070,0.35,75.0680,75.0680,0.0000
12,50,0.650,0.030,0.030,0.35,82.0904,82.0904,0.0000
12,50,0.650,0.030,0.040,0.35,80.4028,80.4028,0.0000
12,50,0.650,0.030,0.050,0.35,75.2858,75.2858,0.0000
12,50,0.650,0.030,0.060,0.35,78.7697,78.7697,0.0000
12,50,0.650,0.030,0.070,0.35,83.6146,83.6146,0.0000
12,50,0.650,0.040,0.030,0.35,86.0098,86.0098,0.0000
12,50,0.650,0.040,0.040,0.35,85.3566,85.3566,0.0000
12,50,0.650,0.040,0.050,0.35,83.9412,83.9412,0.0000
12,50,0.650,0.040,0.060,0.35,77.3544,77.3544,0.0000
12,50,0.650,0.040,0.070,0.35,82.3081,82.3081,0.0000
12,50,0.650,0.050,0.030,0.35,92.3244,92.3244,0.0000
12,50,0.650,0.050,0.040,0.35,86.2275,86.2275,0.0000
12,50,0.650,0.050,0.050,0.35,74.9047,74.9047,0.0000
12,50,0.650,0.050,0.060,0.35,82.9069,82.9069,0.0000
12,50,0.650,0.050,0.070,0.35,76.2657,76.2657,0.0000
12,50,0.650,0.060,0.030,0.35,85.1388,85.1388,0.0000
12,50,0.650,0.060,0.040,0.35,84.0501,84.0501,0.0000
12,50,0.650,0.060,0.050,0.35,76.9733,76.9733,0.0000
12,50,0.650,0.060,0.060,0.35,77.9532,77.9532,0.0000
12,50,0.650,0.060,0.070,0.35,83.0702,83.0702,0.0000
12,50,0.650,0.070,0.030,0.35,83.9956,83.9956,0.0000
