lat,lon
12.9530437,77.6997821
12.9349478,77.6295288
12.9982559,77.5694503
13.0088749,77.563252
13.0009296,77.5723686
13.0010829,77.5721394
12.9833264,77.5980258
12.9040043,77.5734008
12.8940827,77.5679951
12.9793502,77.6421411
12.9621543,77.6418716
12.9370423,77.6245906
12.9342471,77.6234716
12.9370998,77.6245424
12.9689293,77.629115
12.9075699,77.5640131
12.9109843,77.5791221
12.9056456,77.5855728
12.9027732,77.5837541
12.912138,77.5995926
12.9690594,77.6479877
12.9520885,77.6432863
12.9363255,77.5767626
12.9569204,77.7152878
12.9561843,77.7166376
12.9645823,77.7161206
12.9645889,77.7161544
12.9645911,77.7161791
12.9365445,77.6142714
12.9338202,77.6193658
12.9345967,77.6162526
12.9336119,77.6152238
12.9338304,77.6194655
12.9365369,77.614409
12.9336331,77.622557
12.9336731,77.6215853
12.9359336,77.6146718
12.9334825,77.6210731
12.9362549,77.6145138
12.9338227,77.6193019
12.9358653,77.6149483
12.9363343,77.6151183
12.9337973,77.6189966
12.9358031,77.6147343
12.9363805,77.6151025
12.9334311,77.6217925
12.9341001,77.6164042
12.936529,77.6146211
12.9338857,77.6194174
12.9643071,77.6437722
12.9690292,77.6361441
12.9699607,77.64103
12.9791618,77.7512723
12.9588063,77.7465277
12.957152,77.7385924
12.9575316,77.7407836
12.9632258,77.7482429
12.9681582,77.7506792
12.9564558,77.7427026
12.9700266,77.7497775
12.969285,77.7496642
12.9999497,77.6229731
12.9993499,77.5678342
12.9766211,77.5725503
12.9364341,77.6211419
12.934525,77.610909
12.935016,77.611357
12.934504,77.613547
12.934323,77.613299
12.9306133,77.5825147
12.9256218,77.5502249
12.9256318,77.5498709
13.0055106,77.5787567
13.0046183,77.5784554
12.9260621,77.6760012
12.9267253,77.4981279
12.9368003,77.5169615
12.9259148,77.5164894
12.9214078,77.5206736
12.9099779,77.5508753
13.0797112,77.5591265
13.0775498,77.5587667
12.934295,77.6300787
12.9312186,77.6342399
13.041276,77.5163638
13.0321716,77.5699911
13.0314294,77.5702969
13.0289717,77.5712245
13.0291118,77.5711201
13.0277162,77.5717024
13.0362977,77.5746582
12.9331413,77.6228508
12.9414203,77.553445
12.9166102,77.5914577
12.9153417,77.5948673
12.955452,77.697866
12.9362724,77.621296
12.963978,77.7487116
12.9422358,77.6178071
12.9158906,77.6059583
12.9440288,77.5727582
12.9444313,77.5729353
12.9345184,77.6137161
12.9345398,77.6132521
12.988545,77.5377868
13.0042469,77.550715
12.943764,77.6071874
12.93461,77.6107987
12.934104,77.6164798
12.9368528,77.6203487
12.9366057,77.6205137
13.0989001,77.5876488
12.9363015,77.6151475
12.9360411,77.6148636
12.936049,77.6150661
12.9373691,77.6243143
12.9368986,77.6198954
12.9364077,77.6250803
12.9373234,77.624368
12.9401578,77.6229647
12.9369809,77.6197694
12.9368711,77.6248696
12.9168527,77.6034541
12.9348451,77.6128809
12.9350385,77.6130633
12.935577,77.6130901
12.9371352,77.619779
12.9365549,77.6165979
12.8737015,77.6420142
12.936869,77.6247225
12.9368481,77.6198784
12.936937,77.6202003
12.9368899,77.6197711
12.9369893,77.6201144
12.9368847,77.6246206
12.9377944,77.6266966
12.9361835,77.6258638
12.9380577,77.6261445
12.9377879,77.6263171
13.0200035,77.7088068
12.912057,77.6379293
12.9143715,77.6382858
12.9959044,77.6130336
12.9958364,77.6131543
12.9971381,77.6110429
12.9961448,77.6112526
12.9931105,77.6089191
12.9934162,77.608356
12.9960742,77.6170891
12.9352294,77.6076048
12.9343755,77.6090481
12.9358715,77.6077389
